day,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1,7586,36.0,25.0,977.0,23.0,28.0,8.0,2.0,1055,5.0,2.0,3.0,2.0,,4.0,,16.0,,29.0,17.0,7.0,31.0,4.0,12.0,35.0,1.0,13.0,,6.0,2.0,2.0,4.0,,2.0,1.0,2.0,5.0,1.0,,1.0,3.0,6.0,1.0,,5.0,,3.0,44.0,47.0,41.0,17.0,10.0,,13.0,2.0,3.0,5.0,5.0,53.0,,3
2,6538,25.0,29.0,926.0,24.0,16.0,10.0,4.0,825,2.0,2.0,,2.0,,2.0,2.0,14.0,,31.0,14.0,6.0,30.0,4.0,8.0,25.0,4.0,11.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,,3.0,2.0,4.0,1.0,,,5.0,1.0,3.0,40.0,49.0,29.0,10.0,14.0,,8.0,2.0,1.0,5.0,7.0,63.0,1.0,5
3,5434,26.0,20.0,798.0,17.0,19.0,9.0,1.0,680,,2.0,1.0,5.0,,2.0,1.0,10.0,,25.0,11.0,4.0,25.0,4.0,9.0,22.0,3.0,12.0,1.0,4.0,,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,,2.0,,1.0,,7.0,,2.0,31.0,39.0,31.0,10.0,14.0,1.0,9.0,,2.0,3.0,6.0,60.0,2.0,4
4,6794,33.0,25.0,897.0,25.0,23.0,10.0,,710,1.0,5.0,1.0,7.0,,5.0,1.0,10.0,,28.0,14.0,8.0,20.0,5.0,12.0,24.0,3.0,8.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,7.0,2.0,1.0,1.0,3.0,4.0,2.0,,6.0,1.0,4.0,49.0,51.0,28.0,11.0,5.0,1.0,4.0,1.0,,8.0,11.0,53.0,,8
5,6057,28.0,23.0,861.0,21.0,25.0,5.0,1.0,805,2.0,3.0,,1.0,1.0,1.0,2.0,11.0,,30.0,14.0,3.0,18.0,5.0,8.0,26.0,3.0,14.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,5.0,,,,3.0,4.0,,,8.0,,1.0,34.0,45.0,26.0,9.0,10.0,4.0,4.0,1.0,1.0,3.0,9.0,43.0,1.0,8
6,5855,28.0,20.0,868.0,23.0,17.0,6.0,2.0,805,2.0,3.0,1.0,5.0,,,2.0,14.0,,22.0,18.0,4.0,17.0,5.0,5.0,26.0,,13.0,1.0,5.0,4.0,1.0,4.0,,,4.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,,8.0,,5.0,37.0,43.0,35.0,15.0,14.0,1.0,8.0,,3.0,4.0,7.0,38.0,,7
7,4271,26.0,14.0,664.0,12.0,22.0,6.0,,686,4.0,4.0,1.0,3.0,,2.0,1.0,7.0,,18.0,9.0,4.0,15.0,1.0,6.0,25.0,1.0,13.0,3.0,4.0,4.0,1.0,2.0,3.0,5.0,1.0,1.0,7.0,2.0,4.0,,3.0,2.0,1.0,,4.0,,3.0,27.0,33.0,19.0,14.0,9.0,,1.0,,1.0,,6.0,30.0,,3
8,3780,26.0,13.0,596.0,19.0,17.0,3.0,,675,2.0,,1.0,,,2.0,2.0,7.0,,25.0,11.0,3.0,13.0,3.0,8.0,19.0,2.0,7.0,,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,,2.0,4.0,3.0,,,5.0,,2.0,26.0,36.0,24.0,5.0,3.0,,8.0,2.0,,3.0,6.0,50.0,1.0,2
9,4060,24.0,20.0,586.0,22.0,17.0,5.0,,605,2.0,3.0,,1.0,,1.0,3.0,8.0,,25.0,7.0,3.0,23.0,4.0,8.0,19.0,1.0,11.0,2.0,1.0,1.0,,3.0,,1.0,3.0,,4.0,2.0,1.0,1.0,4.0,2.0,1.0,,6.0,,5.0,28.0,35.0,22.0,10.0,9.0,,6.0,,1.0,,4.0,31.0,,2
10,4348,21.0,22.0,625.0,14.0,18.0,10.0,1.0,660,3.0,2.0,,2.0,1.0,4.0,1.0,4.0,,26.0,10.0,3.0,19.0,5.0,9.0,21.0,2.0,12.0,,4.0,,1.0,1.0,,,1.0,2.0,2.0,,2.0,,3.0,,,,9.0,,1.0,32.0,40.0,28.0,7.0,10.0,1.0,5.0,1.0,1.0,4.0,4.0,42.0,,4
11,4891,32.0,17.0,775.0,18.0,21.0,11.0,2.0,1285,1.0,6.0,,2.0,,5.0,,7.0,,31.0,16.0,6.0,18.0,1.0,12.0,27.0,2.0,9.0,,4.0,4.0,,5.0,,1.0,4.0,5.0,2.0,4.0,1.0,,8.0,3.0,1.0,,18.0,,3.0,46.0,46.0,30.0,13.0,13.0,2.0,4.0,1.0,,6.0,11.0,39.0,,1
12,7592,50.0,32.0,1281.0,40.0,34.0,9.0,,1145,6.0,1.0,,5.0,,8.0,1.0,19.0,,42.0,22.0,6.0,36.0,4.0,15.0,42.0,4.0,21.0,2.0,5.0,,,4.0,,2.0,3.0,3.0,7.0,1.0,4.0,4.0,8.0,5.0,1.0,,17.0,,3.0,58.0,76.0,54.0,15.0,12.0,,4.0,1.0,2.0,8.0,15.0,52.0,,9
13,3832,32.0,16.0,735.0,19.0,20.0,9.0,,900,4.0,4.0,,4.0,,3.0,,12.0,,21.0,19.0,6.0,18.0,6.0,7.0,24.0,4.0,9.0,1.0,3.0,1.0,,1.0,,1.0,2.0,1.0,3.0,1.0,,,5.0,5.0,,,8.0,,1.0,34.0,46.0,29.0,13.0,9.0,1.0,5.0,1.0,2.0,3.0,11.0,32.0,,2
14,4078,25.0,29.0,870.0,24.0,15.0,15.0,1.0,805,8.0,3.0,1.0,2.0,,,2.0,7.0,,32.0,13.0,6.0,19.0,5.0,8.0,24.0,3.0,16.0,1.0,5.0,4.0,2.0,7.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,,4.0,3.0,1.0,1.0,3.0,,5.0,44.0,52.0,41.0,9.0,9.0,1.0,8.0,3.0,1.0,7.0,5.0,76.0,,8
15,4528,38.0,27.0,1036.0,23.0,36.0,6.0,,1165,3.0,5.0,1.0,5.0,,4.0,2.0,15.0,,31.0,16.0,5.0,27.0,5.0,16.0,32.0,5.0,18.0,,4.0,3.0,3.0,2.0,1.0,3.0,7.0,5.0,4.0,4.0,2.0,1.0,5.0,2.0,2.0,,14.0,1.0,,44.0,56.0,34.0,17.0,10.0,2.0,9.0,1.0,3.0,10.0,17.0,55.0,1.0,3
16,3220,24.0,25.0,799.0,20.0,20.0,7.0,2.0,775,1.0,4.0,,1.0,1.0,2.0,1.0,10.0,1.0,27.0,9.0,5.0,26.0,2.0,7.0,26.0,3.0,10.0,3.0,3.0,1.0,,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,,3.0,,2.0,38.0,45.0,30.0,16.0,8.0,1.0,7.0,,2.0,7.0,8.0,51.0,,7
17,3162,24.0,25.0,712.0,23.0,17.0,8.0,1.0,755,1.0,2.0,2.0,2.0,3.0,,1.0,13.0,,24.0,8.0,8.0,24.0,6.0,7.0,26.0,2.0,10.0,,4.0,,,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,,3.0,2.0,4.0,,9.0,,2.0,32.0,42.0,29.0,12.0,9.0,,10.0,1.0,2.0,,5.0,44.0,,5
18,2811,32.0,16.0,808.0,18.0,18.0,10.0,3.0,765,3.0,1.0,1.0,1.0,,3.0,,15.0,,25.0,15.0,5.0,18.0,4.0,11.0,23.0,3.0,16.0,,4.0,3.0,,1.0,2.0,1.0,,4.0,3.0,2.0,,2.0,3.0,3.0,,,6.0,,2.0,36.0,43.0,28.0,13.0,11.0,1.0,4.0,1.0,3.0,3.0,10.0,24.0,,3
19,3633,27.0,38.0,1158.0,29.0,27.0,8.0,,1090,5.0,6.0,1.0,3.0,,3.0,1.0,17.0,,30.0,8.0,6.0,39.0,4.0,18.0,30.0,6.0,17.0,2.0,3.0,6.0,4.0,4.0,2.0,2.0,4.0,2.0,11.0,2.0,2.0,1.0,12.0,,2.0,1.0,11.0,,4.0,47.0,59.0,40.0,20.0,12.0,,12.0,,,7.0,14.0,63.0,,10
20,2448,26.0,22.0,765.0,24.0,14.0,10.0,1.0,945,1.0,5.0,,1.0,,1.0,,9.0,1.0,31.0,13.0,2.0,22.0,,10.0,19.0,4.0,8.0,3.0,4.0,3.0,2.0,5.0,1.0,2.0,1.0,3.0,5.0,3.0,1.0,1.0,7.0,4.0,1.0,,11.0,,2.0,34.0,45.0,31.0,14.0,10.0,3.0,6.0,,1.0,1.0,3.0,50.0,1.0,4
21,2408,29.0,25.0,968.0,19.0,22.0,12.0,1.0,940,4.0,2.0,2.0,5.0,3.0,3.0,1.0,11.0,,23.0,16.0,6.0,28.0,5.0,16.0,21.0,5.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,,3.0,6.0,1.0,,,3.0,,,39.0,51.0,37.0,12.0,15.0,2.0,8.0,1.0,2.0,5.0,8.0,55.0,,7
22,2647,36.0,32.0,1229.0,23.0,35.0,8.0,2.0,1155,6.0,5.0,1.0,5.0,,3.0,2.0,14.0,,31.0,15.0,9.0,28.0,5.0,11.0,28.0,4.0,13.0,3.0,4.0,2.0,4.0,7.0,2.0,4.0,3.0,,5.0,2.0,1.0,,3.0,3.0,1.0,,9.0,,2.0,48.0,61.0,38.0,13.0,13.0,2.0,8.0,1.0,3.0,5.0,14.0,53.0,,4
23,1399,17.0,25.0,701.0,21.0,12.0,7.0,2.0,715,4.0,1.0,2.0,2.0,1.0,2.0,1.0,9.0,1.0,19.0,9.0,1.0,22.0,1.0,11.0,20.0,5.0,10.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,7.0,,2.0,3.0,6.0,2.0,,,7.0,,1.0,33.0,40.0,26.0,10.0,8.0,,3.0,3.0,2.0,5.0,5.0,53.0,,8
24,1368,24.0,22.0,843.0,17.0,21.0,5.0,3.0,810,7.0,4.0,2.0,6.0,1.0,1.0,,11.0,,15.0,12.0,2.0,18.0,5.0,14.0,23.0,4.0,9.0,2.0,1.0,5.0,,4.0,,,3.0,3.0,1.0,,3.0,1.0,6.0,3.0,2.0,,2.0,,,34.0,44.0,33.0,16.0,17.0,1.0,7.0,,,1.0,9.0,49.0,1.0,10
25,1363,33.0,17.0,835.0,15.0,24.0,10.0,1.0,745,,1.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,35.0,15.0,5.0,15.0,2.0,6.0,33.0,1.0,9.0,1.0,2.0,5.0,,4.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,,1.0,1.0,,,5.0,,5.0,37.0,42.0,33.0,14.0,8.0,3.0,7.0,,,7.0,9.0,46.0,1.0,5
26,973,16.0,27.0,687.0,17.0,17.0,8.0,1.0,695,4.0,3.0,2.0,4.0,1.0,3.0,,5.0,,22.0,11.0,,17.0,,7.0,14.0,,13.0,,3.0,6.0,1.0,3.0,1.0,,2.0,2.0,2.0,,,6.0,3.0,,1.0,,5.0,1.0,3.0,32.0,39.0,26.0,9.0,10.0,4.0,7.0,,2.0,5.0,1.0,42.0,,9
27,1064,31.0,22.0,878.0,19.0,22.0,10.0,2.0,780,2.0,8.0,1.0,,1.0,1.0,1.0,8.0,,32.0,15.0,9.0,23.0,2.0,11.0,22.0,3.0,13.0,,5.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,6.0,2.0,1.0,,10.0,,2.0,47.0,49.0,39.0,17.0,11.0,,6.0,3.0,5.0,1.0,4.0,70.0,,4
28,832,37.0,24.0,1009.0,24.0,25.0,12.0,,880,6.0,4.0,3.0,3.0,1.0,3.0,3.0,14.0,,24.0,16.0,9.0,21.0,4.0,17.0,28.0,4.0,10.0,,7.0,1.0,3.0,3.0,3.0,,3.0,4.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,,10.0,,2.0,41.0,51.0,44.0,15.0,12.0,1.0,8.0,1.0,5.0,7.0,10.0,60.0,,9
29,680,33.0,29.0,1011.0,29.0,24.0,7.0,2.0,1065,1.0,1.0,4.0,6.0,1.0,3.0,1.0,15.0,,31.0,15.0,8.0,28.0,7.0,15.0,22.0,3.0,15.0,2.0,6.0,6.0,1.0,5.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,,4.0,2.0,2.0,,8.0,,1.0,45.0,53.0,39.0,16.0,15.0,2.0,4.0,1.0,3.0,4.0,5.0,63.0,,8
30,345,26.0,25.0,919.0,14.0,28.0,6.0,3.0,780,5.0,1.0,,1.0,2.0,4.0,1.0,11.0,,26.0,14.0,7.0,23.0,7.0,11.0,23.0,1.0,13.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,3.0,,,4.0,,1.0,36.0,46.0,33.0,13.0,11.0,,9.0,1.0,2.0,2.0,6.0,78.0,,8
31,134,6.0,4.0,165.0,2.0,6.0,1.0,1.0,155,1.0,,,2.0,,,2.0,1.0,,4.0,4.0,,3.0,1.0,2.0,6.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,8.0,10.0,4.0,4.0,2.0,,,,,,2.0,5.0,,1
