month,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC ,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX ,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
1,0.3908685968819599,0.5645879732739421,0.01893095768374165,0.39420935412026725,0.40311804008908686,0.16146993318485522,0.03897550111358575,14.230512249443207,0.03897550111358575,0.09242761692650334,0.0757238307349666,0.024498886414253896,0.028953229398663696,0.025612472160356347,0.1358574610244989,0.031180400890868598,0.0011135857461024498,0.0011135857461024498,0.02338530066815145,0.05011135857461024,0.0077951002227171495,0.02783964365256125,0.0066815144766146995,0.41648106904231624,0.19042316258351893,0.0801781737193764,0.31737193763919824,0.09020044543429843,0.14810690423162584,0.28619153674832964,0.0779510022271715,0.14253897550111358,0.008908685968819599,0.043429844097995544,0.043429844097995544,0.012249443207126948,0.030066815144766147,0.015590200445434299,0.017817371937639197,0.0200445434298441,0.0757238307349666,0.06347438752783964,0.02783964365256125,0.008908685968819599,0.022271714922048998,0.0556792873051225,0.0378619153674833,0.034521158129175944,0.0022271714922048997,0.07461024498886415,0.008908685968819599,0.031180400890868598,0.01893095768374165,0.09465478841870824,0.0033407572383073497,0.0033407572383073497,0.0,0.0022271714922048997,0.0022271714922048997,0.0033407572383073497,0.004454342984409799,0.7605790645879733,0.876391982182628,0.6202672605790646,0.29955456570155903,0.3285077951002227,0.08351893095768374,0.034521158129175944,0.042316258351893093,0.16258351893095768,0.011135857461024499,0.04120267260579064,0.25389755011135856,1.089086859688196,0.8685968819599109,0.0011135857461024498,0.1759465478841871,0.2594654788418708,0.045657015590200446,1270.7104677060133,0.13808463251670378,0.7839643652561247
2,0.47714604236343366,0.47268673355629875,0.030100334448160536,0.3879598662207358,0.4169453734671126,0.1426978818283166,0.046822742474916385,14.249721293199554,0.0379041248606466,0.09921962095875139,0.09141583054626533,0.013377926421404682,0.027870680044593088,0.028985507246376812,0.17614269788182832,0.023411371237458192,0.0011148272017837235,0.0,0.032329988851727984,0.04013377926421405,0.0033444816053511705,0.020066889632107024,0.002229654403567447,0.4013377926421405,0.21516164994425863,0.10702341137123746,0.2931995540691193,0.0758082497212932,0.1516164994425864,0.3221850613154961,0.0947603121516165,0.15607580824972128,0.012263099219620958,0.04124860646599777,0.03567447045707915,0.024526198439241916,0.03678929765886288,0.017837235228539576,0.032329988851727984,0.033444816053511704,0.0758082497212932,0.05016722408026756,0.021181716833890748,0.007803790412486065,0.011148272017837236,0.04013377926421405,0.05239687848383501,0.04124860646599777,0.002229654403567447,0.07915273132664437,0.013377926421404682,0.032329988851727984,0.014492753623188406,0.0713489409141583,0.004459308807134894,0.011148272017837236,0.004459308807134894,0.011148272017837236,0.010033444816053512,0.007803790412486065,0.016722408026755852,0.7748049052396878,0.8907469342251951,0.6142697881828316,0.30657748049052397,0.3232998885172798,0.11036789297658862,0.046822742474916385,0.043478260869565216,0.14604236343366778,0.004459308807134894,0.027870680044593088,0.2552954292084727,1.2118171683389074,0.9253065774804905,0.005574136008918618,0.22965440356744704,0.2408026755852843,0.06020066889632107,156.2196209587514,0.12151616499442586,0.6989966555183946
3,0.5078206465067779,0.45985401459854014,0.020855057351407715,0.3858185610010427,0.4191866527632951,0.15849843587069865,0.03441084462982273,14.035453597497392,0.04275286757038582,0.06777893639207508,0.06256517205422316,0.028154327424400417,0.03128258602711158,0.03232533889468196,0.15849843587069865,0.04171011470281543,0.0010427528675703858,0.0010427528675703858,0.022940563086548488,0.06882168925964546,0.0031282586027111575,0.006256517205422315,0.008342022940563087,0.397288842544317,0.18769551616266944,0.0886339937434828,0.27007299270072993,0.08342022940563086,0.12408759124087591,0.36392075078206465,0.035453597497393116,0.1762252346193952,0.0072992700729927005,0.028154327424400417,0.03858185610010428,0.017726798748696558,0.04171011470281543,0.01564129301355579,0.023983315954118872,0.035453597497393116,0.029197080291970802,0.054223149113660066,0.03128258602711158,0.014598540145985401,0.018769551616266946,0.045881126173096975,0.040667361835245046,0.04171011470281543,0.008342022940563087,0.072992700729927,0.03753910323253389,0.045881126173096975,0.01981230448383733,0.14181438998957246,0.005213764337851929,0.005213764337851929,0.0031282586027111575,0.008342022940563087,0.005213764337851929,0.0031282586027111575,0.0031282586027111575,0.7424400417101147,0.9009384775808134,0.6120959332638165,0.264859228362878,0.28362877997914493,0.08967674661105318,0.04171011470281543,0.035453597497393116,0.09801876955161627,0.006256517205422315,0.03232533889468196,0.21689259645464026,1.167883211678832,0.8988529718456726,0.0031282586027111575,0.21897810218978103,0.22314911366006257,0.06465067778936393,1189.5130344108447,0.145985401459854,0.7309697601668405
4,0.485310119695321,0.4646354733405876,0.028291621327529923,0.3928182807399347,0.41566920565832427,0.14363438520130578,0.042437431991294884,13.889009793253537,0.03373231773667029,0.07399347116430903,0.05984766050054407,0.025027203482045703,0.020674646354733407,0.04787812840043525,0.16213275299238303,0.025027203482045703,0.001088139281828074,0.0,0.035908596300326445,0.035908596300326445,0.006528835690968444,0.025027203482045703,0.018498367791077257,0.4276387377584331,0.176278563656148,0.0794341675734494,0.29488574537540807,0.09249183895538629,0.16213275299238303,0.37758433079434167,0.051142546245919476,0.2176278563656148,0.011969532100108813,0.03917301414581066,0.035908596300326445,0.02720348204570185,0.035908596300326445,0.015233949945593036,0.02720348204570185,0.035908596300326445,0.031556039173014146,0.07834602829162132,0.020674646354733407,0.009793253536452665,0.01632208922742111,0.041349292709466814,0.05331882480957562,0.04461371055495103,0.002176278563656148,0.06637649619151251,0.03808487486398259,0.03917301414581066,0.014145810663764961,0.1501632208922742,0.006528835690968444,0.006528835690968444,0.00544069640914037,0.014145810663764961,0.01088139281828074,0.006528835690968444,0.01088139281828074,0.7921653971708379,0.911860718171926,0.6180631120783461,0.2927094668117519,0.3025027203482046,0.09140369967355821,0.036996735582154515,0.03917301414581066,0.11425462459194777,0.01088139281828074,0.02720348204570185,0.22850924918389554,1.0631120783460284,0.8335146898803046,0.002176278563656148,0.18607181719260066,0.23612622415669204,0.042437431991294884,1241.8944504896626,0.12622415669205658,0.720348204570185
5,0.49552772808586765,0.4731663685152057,0.013416815742397137,0.4087656529516995,0.3881932021466905,0.14937388193202147,0.04293381037567084,13.235241502683364,0.03935599284436494,0.0742397137745975,0.07692307692307693,0.01967799642218247,0.029516994633273702,0.03130590339892665,0.1771019677996422,0.028622540250447227,0.0008944543828264759,0.0008944543828264759,0.016100178890876567,0.04830053667262969,0.005366726296958855,0.023255813953488372,0.013416815742397137,0.3944543828264758,0.21645796064400716,0.1001788908765653,0.3041144901610018,0.09033989266547406,0.1413237924865832,0.3810375670840787,0.03577817531305903,0.17889087656529518,0.01520572450805009,0.029516994633273702,0.04203935599284436,0.029516994633273702,0.059033989266547404,0.01699463327370304,0.03041144901610018,0.03935599284436494,0.04114490161001789,0.057245080500894455,0.02146690518783542,0.01967799642218247,0.02146690518783542,0.05366726296958855,0.05635062611806798,0.04740608228980322,0.0035778175313059034,0.09570661896243292,0.04114490161001789,0.055456171735241505,0.017889087656529516,0.13059033989266547,0.007155635062611807,0.008050089445438283,0.0035778175313059034,0.01073345259391771,0.0017889087656529517,0.004472271914132379,0.007155635062611807,0.7808586762075134,0.9212880143112702,0.6556350626118068,0.31663685152057247,0.32468694096601075,0.08139534883720931,0.03488372093023256,0.03756708407871199,0.12432915921288014,0.008944543828264758,0.03667262969588551,0.20840787119856888,1.069767441860465,0.8658318425760286,0.0017889087656529517,0.167262969588551,0.25760286225402507,0.04740608228980322,126.63416815742397,0.1261180679785331,0.7871198568872988
6,0.4069097888675624,0.5527831094049904,0.02495201535508637,0.3829174664107486,0.40978886756238003,0.15642994241842612,0.03934740882917467,14.234165067178504,0.03934740882917467,0.07005758157389635,0.02783109404990403,0.013435700575815739,0.02399232245681382,0.02783109404990403,0.18042226487523993,0.05470249520153551,0.0,0.0,0.04030710172744722,0.05182341650671785,0.005758157389635317,0.02399232245681382,0.007677543186180422,0.3982725527831094,0.16506717850287908,0.11036468330134357,0.33685220729366605,0.09980806142034548,0.18809980806142035,0.3310940499040307,0.036468330134357005,0.1401151631477927,0.008637236084452975,0.03262955854126679,0.04030710172744722,0.01727447216890595,0.04702495201535509,0.025911708253358926,0.02399232245681382,0.023032629558541268,0.02015355086372361,0.060460652591170824,0.02495201535508637,0.013435700575815739,0.02495201535508637,0.0508637236084453,0.05854126679462572,0.044145873320537425,0.0009596928982725527,0.05470249520153551,0.022072936660268713,0.046065259117082535,0.02111324376199616,0.1708253358925144,0.0009596928982725527,0.005758157389635317,0.0019193857965451055,0.005758157389635317,0.0067178502879078695,0.003838771593090211,0.007677543186180422,0.72552783109405,0.8877159309021113,0.6046065259117083,0.24664107485604606,0.29366602687140114,0.06813819577735125,0.03838771593090211,0.03742802303262956,0.14971209213051823,0.007677543186180422,0.02783109404990403,0.21785028790786948,1.116122840690979,0.9174664107485605,0.0028790786948176585,0.16698656429942418,0.2744721689059501,0.0508637236084453,1094.440499040307,0.1324376199616123,0.7927063339731286
7,0.40219378427787933,0.5722120658135283,0.012797074954296161,0.41224862888482633,0.3802559414990859,0.1745886654478976,0.025594149908592323,14.49908592321755,0.03930530164533821,0.07952468007312614,0.011882998171846435,0.031078610603290677,0.03656307129798903,0.025594149908592323,0.17276051188299818,0.044789762340036565,0.0018281535648994515,0.002742230347349177,0.022851919561243144,0.06672760511882998,0.006398537477148081,0.03473491773308958,0.02010968921389397,0.4085923217550274,0.2056672760511883,0.12705667276051189,0.4570383912248629,0.09323583180987204,0.19926873857404023,0.2897623400365631,0.06581352833638025,0.1316270566727605,0.013711151736745886,0.027422303473491772,0.04021937842778794,0.03656307129798903,0.04753199268738574,0.02376599634369287,0.031078610603290677,0.02376599634369287,0.021937842778793418,0.04936014625228519,0.02102376599634369,0.014625228519195612,0.03290676416819013,0.06489945155393052,0.03656307129798903,0.04661791590493602,0.005484460694698354,0.03656307129798903,0.015539305301645339,0.04753199268738574,0.014625228519195612,0.09597806215722121,0.0,0.0018281535648994515,0.0018281535648994515,0.006398537477148081,0.004570383912248629,0.0018281535648994515,0.004570383912248629,0.7458866544789763,0.906764168190128,0.6489945155393053,0.3016453382084095,0.3583180987202925,0.08043875685557587,0.037477148080438755,0.038391224862888484,0.16270566727605118,0.002742230347349177,0.029250457038391225,0.3702010968921389,1.1709323583180986,0.9570383912248629,0.003656307129798903,0.1846435100548446,0.29890310786106034,128.71389396709324,0.12340036563071298,0.11608775137111517,0.7842778793418648
8,0.31733594515181196,0.6307541625857003,0.040156709108716944,0.41821743388834476,0.38883447600391774,0.14789422135161606,0.040156709108716944,15.241919686581783,0.03819784524975514,0.0910871694417238,0.010773751224289911,0.029382957884427033,0.010773751224289911,0.03721841332027424,0.1821743388834476,0.03819784524975514,0.0019588638589618022,0.002938295788442703,0.03623898139079334,0.05484818805093046,0.0019588638589618022,0.040156709108716944,0.02742409402546523,0.40744368266405484,0.13026444662095985,0.08521057786483839,0.257590597453477,0.06072477962781587,0.22526934378060726,0.2624877571008815,0.06856023506366307,0.14985308521057786,0.007835455435847209,0.024485798237022526,0.02840352595494613,0.01762977473065622,0.02056807051909892,0.010773751224289911,0.024485798237022526,0.030362389813907934,0.06464250734573947,0.047992164544564155,0.013712047012732615,0.005876591576885406,0.024485798237022526,0.029382957884427033,0.05288932419196866,0.04505386875612145,0.00881488736532811,0.031341821743388835,0.01665034280117532,0.029382957884427033,0.024485798237022526,0.24191968658178256,0.004897159647404506,0.005876591576885406,0.0019588638589618022,0.009794319294809012,0.015670910871694418,0.0068560235063663075,0.007835455435847209,0.7502448579823702,0.9059745347698335,0.6356513222331048,0.2850146914789422,0.33006856023506365,0.08031341821743389,0.02056807051909892,0.02840352595494613,0.1821743388834476,0.005876591576885406,0.02056807051909892,0.34573947110675807,1.148873653281097,0.9128305582761999,0.0009794319294809011,0.1831537708129285,0.3036238981390793,137.26640548481882,0.09990205680705191,0.13418217433888344,0.9343780607247796
9,0.3492769744160178,0.610678531701891,0.03114571746384872,0.41268075639599555,0.40044493882091214,0.14238042269187987,0.0389321468298109,16.054505005561737,0.034482758620689655,0.07563959955506118,0.04338153503893215,0.035595105672969966,0.014460511679644048,0.028921023359288096,0.13348164627363737,0.04004449388209121,0.0011123470522803114,0.002224694104560623,0.04338153503893215,0.07230255839822025,0.0033370411568409346,0.042269187986651836,0.026696329254727477,0.41824249165739713,0.11790878754171301,0.06562847608453838,0.2135706340378198,0.08342602892102335,0.25806451612903225,0.21802002224694106,0.09343715239154617,0.14794215795328142,0.0055617352614015575,0.020022246941045607,0.018909899888765295,0.014460511679644048,0.020022246941045607,0.0055617352614015575,0.020022246941045607,0.03114571746384872,0.067853170189099,0.05784204671857619,0.020022246941045607,0.006674082313681869,0.013348164627363738,0.03781979977753059,0.06117908787541713,0.042269187986651836,0.006674082313681869,0.04338153503893215,0.041156840934371525,0.012235817575083427,0.03781979977753059,0.3081201334816463,0.002224694104560623,0.0055617352614015575,0.0033370411568409346,0.01668520578420467,0.02224694104560623,0.008898776418242492,0.01557285873192436,0.7563959955506118,0.9032258064516129,0.6351501668520578,0.3281423804226919,0.39377085650723026,0.10901001112347053,0.041156840934371525,0.042269187986651836,0.19688542825361513,0.0033370411568409346,0.017797552836484983,0.41490545050055616,1.4149054505005563,1.1078976640711902,0.004449388209121246,0.22803114571746386,0.30589543937708563,0.06229143492769744,0.12458286985539488,0.10901001112347053,0.9755283648498332
10,0.43973214285714285,0.515625,0.029017857142857144,0.41294642857142855,0.39174107142857145,0.17075892857142858,0.0234375,14.588169642857142,0.04017857142857143,0.11272321428571429,0.09821428571428571,0.025669642857142856,0.020089285714285716,0.020089285714285716,0.14955357142857142,0.03571428571428571,0.0,0.002232142857142857,0.03571428571428571,0.0546875,0.0078125,0.015625,0.010044642857142858,0.39174107142857145,0.19084821428571427,0.10379464285714286,0.2779017857142857,0.08370535714285714,0.17410714285714285,0.24888392857142858,0.11830357142857142,0.16294642857142858,0.022321428571428572,0.03125,0.036830357142857144,0.027901785714285716,0.0234375,0.024553571428571428,0.017857142857142856,0.027901785714285716,0.08147321428571429,0.07477678571428571,0.0234375,0.0078125,0.017857142857142856,0.022321428571428572,0.03571428571428571,0.036830357142857144,0.0078125,0.05133928571428571,0.018973214285714284,0.03459821428571429,0.029017857142857144,0.16964285714285715,0.0033482142857142855,0.006696428571428571,0.004464285714285714,0.008928571428571428,0.012276785714285714,0.011160714285714286,0.008928571428571428,0.7979910714285714,0.921875,0.6339285714285714,0.27120535714285715,0.31919642857142855,0.09821428571428571,0.03794642857142857,0.03236607142857143,0.15401785714285715,0.005580357142857143,0.026785714285714284,0.26785714285714285,0.9698660714285714,0.7589285714285714,0.013392857142857142,0.16852678571428573,0.19419642857142858,0.07142857142857142,0.14174107142857142,0.13616071428571427,0.8604910714285714
11,0.45072115384615385,0.5072115384615384,0.03245192307692308,0.43028846153846156,0.37740384615384615,0.12980769230769232,0.054086538461538464,13.618990384615385,0.03245192307692308,0.07451923076923077,0.08052884615384616,0.025240384615384616,0.02403846153846154,0.037259615384615384,0.15865384615384615,0.036057692307692304,0.003605769230769231,0.0,0.046875,0.054086538461538464,0.002403846153846154,0.01201923076923077,0.018028846153846152,0.4098557692307692,0.2127403846153846,0.08052884615384616,0.23317307692307693,0.07572115384615384,0.16706730769230768,0.28846153846153844,0.09014423076923077,0.18509615384615385,0.013221153846153846,0.037259615384615384,0.04326923076923077,0.02283653846153846,0.028846153846153848,0.016826923076923076,0.018028846153846152,0.021634615384615384,0.09975961538461539,0.054086538461538464,0.028846153846153848,0.006009615384615385,0.025240384615384616,0.039663461538461536,0.040865384615384616,0.040865384615384616,0.003605769230769231,0.06971153846153846,0.014423076923076924,0.038461538461538464,0.026442307692307692,0.13221153846153846,0.003605769230769231,0.006009615384615385,0.0,0.008413461538461538,0.010817307692307692,0.006009615384615385,0.002403846153846154,0.7704326923076923,0.9146634615384616,0.6177884615384616,0.28846153846153844,0.3449519230769231,0.10216346153846154,0.03365384615384615,0.03245192307692308,0.15264423076923078,0.009615384615384616,0.04447115384615385,0.24519230769230768,1.2163461538461537,0.9423076923076923,0.09014423076923077,0.15865384615384615,0.23918269230769232,0.15745192307692307,0.12379807692307693,0.10697115384615384,0.8641826923076923
12,0.40827586206896554,0.543448275862069,0.028965517241379312,0.40827586206896554,0.4289655172413793,0.12689655172413794,0.03310344827586207,14.633103448275863,0.04827586206896552,0.0703448275862069,0.06758620689655172,0.030344827586206897,0.01793103448275862,0.028965517241379312,0.14344827586206896,0.028965517241379312,0.0,0.0,0.01793103448275862,0.05931034482758621,0.001379310344827586,0.023448275862068966,0.01793103448275862,0.45241379310344826,0.16,0.1006896551724138,0.3213793103448276,0.08413793103448276,0.17517241379310344,0.24551724137931036,0.0910344827586207,0.17103448275862068,0.009655172413793104,0.030344827586206897,0.030344827586206897,0.027586206896551724,0.03310344827586207,0.019310344827586208,0.030344827586206897,0.028965517241379312,0.08551724137931034,0.05379310344827586,0.015172413793103448,0.013793103448275862,0.016551724137931035,0.027586206896551724,0.05103448275862069,0.037241379310344824,0.006896551724137931,0.05379310344827586,0.015172413793103448,0.022068965517241378,0.02620689655172414,0.10758620689655173,0.004137931034482759,0.008275862068965517,0.002758620689655172,0.006896551724137931,0.002758620689655172,0.004137931034482759,0.002758620689655172,0.7558620689655172,0.8855172413793103,0.6068965517241379,0.296551724137931,0.30344827586206896,0.11310344827586206,0.028965517241379312,0.030344827586206897,0.15586206896551724,0.012413793103448275,0.030344827586206897,0.2620689655172414,1.2951724137931035,1.0579310344827586,0.08551724137931034,0.15310344827586206,0.2910344827586207,0.17517241379310344,0.13655172413793104,0.11172413793103449,0.9544827586206897
