month,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
1,351.0,507.0,17.0,354.0,362.0,145.0,35.0,12779.0,35.0,83.0,68.0,22.0,26.0,23.0,122.0,28.0,1.0,1.0,21.0,45.0,7.0,25.0,6.0,374.0,171.0,72.0,285.0,81.0,133.0,257.0,70.0,128.0,8.0,39.0,39.0,11.0,27.0,14.0,16.0,18.0,68.0,57.0,25.0,8.0,20.0,50.0,34.0,31.0,2.0,67.0,8.0,28.0,17.0,85.0,3.0,3.0,0.0,2.0,2.0,3.0,4.0,683.0,787.0,557.0,269.0,295.0,75.0,31.0,38.0,146.0,10.0,37.0,228.0,978.0,780.0,1.0,158.0,233.0,41.0,1141098.0,124.0,704.0
2,428.0,424.0,27.0,348.0,374.0,128.0,42.0,12782.0,34.0,89.0,82.0,12.0,25.0,26.0,158.0,21.0,1.0,0.0,29.0,36.0,3.0,18.0,2.0,360.0,193.0,96.0,263.0,68.0,136.0,289.0,85.0,140.0,11.0,37.0,32.0,22.0,33.0,16.0,29.0,30.0,68.0,45.0,19.0,7.0,10.0,36.0,47.0,37.0,2.0,71.0,12.0,29.0,13.0,64.0,4.0,10.0,4.0,10.0,9.0,7.0,15.0,695.0,799.0,551.0,275.0,290.0,99.0,42.0,39.0,131.0,4.0,25.0,229.0,1087.0,830.0,5.0,206.0,216.0,54.0,140129.0,109.0,627.0
3,487.0,441.0,20.0,370.0,402.0,152.0,33.0,13460.0,41.0,65.0,60.0,27.0,30.0,31.0,152.0,40.0,1.0,1.0,22.0,66.0,3.0,6.0,8.0,381.0,180.0,85.0,259.0,80.0,119.0,349.0,34.0,169.0,7.0,27.0,37.0,17.0,40.0,15.0,23.0,34.0,28.0,52.0,30.0,14.0,18.0,44.0,39.0,40.0,8.0,70.0,36.0,44.0,19.0,136.0,5.0,5.0,3.0,8.0,5.0,3.0,3.0,712.0,864.0,587.0,254.0,272.0,86.0,40.0,34.0,94.0,6.0,31.0,208.0,1120.0,862.0,3.0,210.0,214.0,62.0,1140743.0,140.0,701.0
4,446.0,427.0,26.0,361.0,382.0,132.0,39.0,12764.0,31.0,68.0,55.0,23.0,19.0,44.0,149.0,23.0,1.0,0.0,33.0,33.0,6.0,23.0,17.0,393.0,162.0,73.0,271.0,85.0,149.0,347.0,47.0,200.0,11.0,36.0,33.0,25.0,33.0,14.0,25.0,33.0,29.0,72.0,19.0,9.0,15.0,38.0,49.0,41.0,2.0,61.0,35.0,36.0,13.0,138.0,6.0,6.0,5.0,13.0,10.0,6.0,10.0,728.0,838.0,568.0,269.0,278.0,84.0,34.0,36.0,105.0,10.0,25.0,210.0,977.0,766.0,2.0,171.0,217.0,39.0,1141301.0,116.0,662.0
5,554.0,529.0,15.0,457.0,434.0,167.0,48.0,14797.0,44.0,83.0,86.0,22.0,33.0,35.0,198.0,32.0,1.0,1.0,18.0,54.0,6.0,26.0,15.0,441.0,242.0,112.0,340.0,101.0,158.0,426.0,40.0,200.0,17.0,33.0,47.0,33.0,66.0,19.0,34.0,44.0,46.0,64.0,24.0,22.0,24.0,60.0,63.0,53.0,4.0,107.0,46.0,62.0,20.0,146.0,8.0,9.0,4.0,12.0,2.0,5.0,8.0,873.0,1030.0,733.0,354.0,363.0,91.0,39.0,42.0,139.0,10.0,41.0,233.0,1196.0,968.0,2.0,187.0,288.0,53.0,141577.0,141.0,880.0
6,424.0,576.0,26.0,399.0,427.0,163.0,41.0,14832.0,41.0,73.0,29.0,14.0,25.0,29.0,188.0,57.0,0.0,0.0,42.0,54.0,6.0,25.0,8.0,415.0,172.0,115.0,351.0,104.0,196.0,345.0,38.0,146.0,9.0,34.0,42.0,18.0,49.0,27.0,25.0,24.0,21.0,63.0,26.0,14.0,26.0,53.0,61.0,46.0,1.0,57.0,23.0,48.0,22.0,178.0,1.0,6.0,2.0,6.0,7.0,4.0,8.0,756.0,925.0,630.0,257.0,306.0,71.0,40.0,39.0,156.0,8.0,29.0,227.0,1163.0,956.0,3.0,174.0,286.0,53.0,1140407.0,138.0,826.0
7,440.0,626.0,14.0,451.0,416.0,191.0,28.0,15862.0,43.0,87.0,13.0,34.0,40.0,28.0,189.0,49.0,2.0,3.0,25.0,73.0,7.0,38.0,22.0,447.0,225.0,139.0,500.0,102.0,218.0,317.0,72.0,144.0,15.0,30.0,44.0,40.0,52.0,26.0,34.0,26.0,24.0,54.0,23.0,16.0,36.0,71.0,40.0,51.0,6.0,40.0,17.0,52.0,16.0,105.0,0.0,2.0,2.0,7.0,5.0,2.0,5.0,816.0,992.0,710.0,330.0,392.0,88.0,41.0,42.0,178.0,3.0,32.0,405.0,1281.0,1047.0,4.0,202.0,327.0,140813.0,135.0,127.0,858.0
8,324.0,644.0,41.0,427.0,397.0,151.0,41.0,15562.0,39.0,93.0,11.0,30.0,11.0,38.0,186.0,39.0,2.0,3.0,37.0,56.0,2.0,41.0,28.0,416.0,133.0,87.0,263.0,62.0,230.0,268.0,70.0,153.0,8.0,25.0,29.0,18.0,21.0,11.0,25.0,31.0,66.0,49.0,14.0,6.0,25.0,30.0,54.0,46.0,9.0,32.0,17.0,30.0,25.0,247.0,5.0,6.0,2.0,10.0,16.0,7.0,8.0,766.0,925.0,649.0,291.0,337.0,82.0,21.0,29.0,186.0,6.0,21.0,353.0,1173.0,932.0,1.0,187.0,310.0,140149.0,102.0,137.0,954.0
9,314.0,549.0,28.0,371.0,360.0,128.0,35.0,14433.0,31.0,68.0,39.0,32.0,13.0,26.0,120.0,36.0,1.0,2.0,39.0,65.0,3.0,38.0,24.0,376.0,106.0,59.0,192.0,75.0,232.0,196.0,84.0,133.0,5.0,18.0,17.0,13.0,18.0,5.0,18.0,28.0,61.0,52.0,18.0,6.0,12.0,34.0,55.0,38.0,6.0,39.0,37.0,11.0,34.0,277.0,2.0,5.0,3.0,15.0,20.0,8.0,14.0,680.0,812.0,571.0,295.0,354.0,98.0,37.0,38.0,177.0,3.0,16.0,373.0,1272.0,996.0,4.0,205.0,275.0,56.0,112.0,98.0,877.0
10,394.0,462.0,26.0,370.0,351.0,153.0,21.0,13071.0,36.0,101.0,88.0,23.0,18.0,18.0,134.0,32.0,0.0,2.0,32.0,49.0,7.0,14.0,9.0,351.0,171.0,93.0,249.0,75.0,156.0,223.0,106.0,146.0,20.0,28.0,33.0,25.0,21.0,22.0,16.0,25.0,73.0,67.0,21.0,7.0,16.0,20.0,32.0,33.0,7.0,46.0,17.0,31.0,26.0,152.0,3.0,6.0,4.0,8.0,11.0,10.0,8.0,715.0,826.0,568.0,243.0,286.0,88.0,34.0,29.0,138.0,5.0,24.0,240.0,869.0,680.0,12.0,151.0,174.0,64.0,127.0,122.0,771.0
11,375.0,422.0,27.0,358.0,314.0,108.0,45.0,11331.0,27.0,62.0,67.0,21.0,20.0,31.0,132.0,30.0,3.0,0.0,39.0,45.0,2.0,10.0,15.0,341.0,177.0,67.0,194.0,63.0,139.0,240.0,75.0,154.0,11.0,31.0,36.0,19.0,24.0,14.0,15.0,18.0,83.0,45.0,24.0,5.0,21.0,33.0,34.0,34.0,3.0,58.0,12.0,32.0,22.0,110.0,3.0,5.0,0.0,7.0,9.0,5.0,2.0,641.0,761.0,514.0,240.0,287.0,85.0,28.0,27.0,127.0,8.0,37.0,204.0,1012.0,784.0,75.0,132.0,199.0,131.0,103.0,89.0,719.0
12,296.0,394.0,21.0,296.0,311.0,92.0,24.0,10609.0,35.0,51.0,49.0,22.0,13.0,21.0,104.0,21.0,0.0,0.0,13.0,43.0,1.0,17.0,13.0,328.0,116.0,73.0,233.0,61.0,127.0,178.0,66.0,124.0,7.0,22.0,22.0,20.0,24.0,14.0,22.0,21.0,62.0,39.0,11.0,10.0,12.0,20.0,37.0,27.0,5.0,39.0,11.0,16.0,19.0,78.0,3.0,6.0,2.0,5.0,2.0,3.0,2.0,548.0,642.0,440.0,215.0,220.0,82.0,21.0,22.0,113.0,9.0,22.0,190.0,939.0,767.0,62.0,111.0,211.0,127.0,99.0,81.0,692.0
