week,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC ,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX ,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
26,85.0,148.0,7.0,94.0,107.0,33.0,9.0,3563.0,13.0,13.0,5.0,2.0,9.0,8.0,47.0,14.0,0.0,0.0,7.0,11.0,3.0,9.0,2.0,98.0,35.0,26.0,85.0,21.0,58.0,82.0,12.0,23.0,3.0,3.0,13.0,9.0,13.0,9.0,7.0,3.0,5.0,12.0,11.0,3.0,6.0,7.0,20.0,15.0,0.0,8.0,3.0,13.0,3.0,50.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,168.0,214.0,145.0,51.0,79.0,14.0,6.0,5.0,39.0,1.0,6.0,67.0,289.0,235.0,0.0,45.0,69.0,9.0,34.0,40.0,205.0
27,51.0,110.0,1.0,73.0,58.0,29.0,4.0,2244.0,9.0,10.0,4.0,6.0,6.0,4.0,35.0,13.0,2.0,1.0,3.0,9.0,1.0,8.0,4.0,52.0,31.0,23.0,69.0,7.0,50.0,48.0,12.0,27.0,2.0,6.0,14.0,3.0,12.0,2.0,10.0,3.0,6.0,6.0,5.0,0.0,3.0,12.0,9.0,7.0,3.0,4.0,4.0,10.0,3.0,27.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,119.0,148.0,110.0,53.0,61.0,15.0,7.0,10.0,24.0,2.0,4.0,64.0,223.0,181.0,1.0,36.0,47.0,0.0,1140320.0,19.0,163.0
28,102.0,167.0,1.0,126.0,98.0,41.0,7.0,4305.0,9.0,18.0,3.0,3.0,11.0,8.0,42.0,19.0,0.0,1.0,2.0,26.0,1.0,9.0,5.0,119.0,57.0,34.0,141.0,27.0,46.0,77.0,11.0,30.0,6.0,4.0,11.0,8.0,13.0,4.0,6.0,7.0,6.0,14.0,6.0,4.0,5.0,17.0,9.0,17.0,0.0,10.0,1.0,12.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,205.0,254.0,169.0,71.0,92.0,19.0,9.0,4.0,42.0,0.0,13.0,111.0,320.0,265.0,0.0,51.0,84.0,0.0,42.0,26.0,220.0
29,122.0,145.0,8.0,100.0,109.0,60.0,5.0,3844.0,9.0,25.0,2.0,8.0,9.0,7.0,50.0,8.0,0.0,1.0,6.0,15.0,3.0,8.0,6.0,121.0,55.0,31.0,123.0,33.0,55.0,79.0,22.0,35.0,1.0,12.0,7.0,9.0,14.0,8.0,7.0,6.0,6.0,17.0,4.0,5.0,15.0,21.0,7.0,7.0,2.0,11.0,6.0,13.0,7.0,24.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,205.0,251.0,187.0,84.0,111.0,34.0,13.0,15.0,53.0,1.0,10.0,97.0,313.0,251.0,2.0,51.0,72.0,0.0,32.0,39.0,192.0
30,107.0,139.0,4.0,103.0,102.0,38.0,8.0,3552.0,10.0,21.0,4.0,14.0,8.0,6.0,42.0,7.0,0.0,0.0,13.0,14.0,2.0,7.0,7.0,96.0,57.0,25.0,107.0,27.0,41.0,77.0,17.0,33.0,4.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,3.0,10.0,6.0,5.0,11.0,12.0,7.0,12.0,1.0,10.0,6.0,12.0,5.0,24.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,190.0,225.0,163.0,77.0,88.0,18.0,8.0,11.0,40.0,0.0,2.0,88.0,281.0,232.0,0.0,42.0,87.0,0.0,22.0,29.0,199.0
31,95.0,147.0,7.0,102.0,108.0,35.0,8.0,3610.0,15.0,28.0,2.0,4.0,6.0,5.0,44.0,10.0,0.0,1.0,4.0,16.0,0.0,12.0,5.0,102.0,44.0,43.0,87.0,16.0,53.0,64.0,18.0,42.0,4.0,5.0,7.0,15.0,11.0,5.0,8.0,5.0,24.0,9.0,5.0,2.0,5.0,12.0,10.0,12.0,2.0,7.0,1.0,12.0,4.0,29.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,188.0,228.0,166.0,73.0,82.0,12.0,10.0,5.0,44.0,5.0,7.0,86.0,255.0,214.0,1.0,35.0,78.0,140813.0,29.0,28.0,199.0
32,92.0,153.0,5.0,102.0,107.0,38.0,5.0,3660.0,11.0,26.0,2.0,6.0,3.0,12.0,45.0,6.0,0.0,1.0,15.0,13.0,1.0,13.0,5.0,98.0,41.0,22.0,70.0,16.0,53.0,75.0,21.0,35.0,2.0,6.0,10.0,3.0,5.0,2.0,7.0,7.0,16.0,20.0,5.0,3.0,8.0,4.0,18.0,8.0,1.0,7.0,5.0,10.0,7.0,54.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0,201.0,240.0,167.0,69.0,84.0,21.0,5.0,9.0,53.0,0.0,8.0,87.0,287.0,217.0,0.0,49.0,70.0,0.0,28.0,31.0,237.0
33,81.0,153.0,10.0,104.0,93.0,36.0,12.0,3489.0,10.0,14.0,2.0,12.0,5.0,11.0,38.0,11.0,0.0,1.0,10.0,17.0,1.0,6.0,10.0,104.0,24.0,14.0,53.0,12.0,56.0,78.0,13.0,47.0,1.0,12.0,6.0,7.0,7.0,4.0,5.0,7.0,6.0,13.0,1.0,1.0,7.0,10.0,11.0,15.0,1.0,11.0,7.0,9.0,5.0,63.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,182.0,230.0,150.0,76.0,91.0,22.0,3.0,6.0,41.0,0.0,4.0,81.0,289.0,231.0,1.0,47.0,73.0,0.0,18.0,38.0,177.0
34,53.0,143.0,8.0,85.0,75.0,35.0,13.0,3647.0,5.0,19.0,5.0,6.0,2.0,7.0,36.0,7.0,0.0,0.0,5.0,8.0,0.0,10.0,5.0,95.0,27.0,16.0,63.0,14.0,52.0,41.0,14.0,23.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,10.0,10.0,7.0,4.0,0.0,5.0,9.0,8.0,12.0,3.0,4.0,3.0,5.0,4.0,55.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,157.0,182.0,132.0,62.0,68.0,13.0,4.0,5.0,41.0,2.0,5.0,72.0,250.0,202.0,0.0,37.0,74.0,0.0,20.0,27.0,223.0
35,57.0,144.0,12.0,89.0,79.0,33.0,10.0,3291.0,7.0,16.0,1.0,5.0,2.0,5.0,45.0,7.0,2.0,0.0,7.0,15.0,0.0,7.0,4.0,90.0,21.0,18.0,58.0,13.0,50.0,43.0,18.0,33.0,1.0,2.0,5.0,3.0,4.0,0.0,4.0,5.0,16.0,9.0,3.0,1.0,4.0,6.0,13.0,7.0,3.0,8.0,1.0,3.0,7.0,57.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,154.0,180.0,137.0,58.0,69.0,21.0,4.0,9.0,38.0,1.0,1.0,84.0,269.0,213.0,0.0,47.0,60.0,140153.0,28.0,28.0,242.0
36,67.0,117.0,9.0,79.0,85.0,23.0,5.0,3036.0,9.0,10.0,4.0,2.0,2.0,4.0,27.0,7.0,0.0,0.0,9.0,15.0,0.0,11.0,4.0,91.0,27.0,14.0,46.0,13.0,52.0,45.0,15.0,26.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,6.0,8.0,14.0,4.0,1.0,4.0,6.0,18.0,12.0,0.0,7.0,11.0,2.0,7.0,75.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,147.0,174.0,124.0,66.0,80.0,22.0,8.0,6.0,40.0,0.0,2.0,87.0,293.0,234.0,1.0,40.0,73.0,8.0,17.0,20.0,162.0
37,72.0,129.0,6.0,93.0,77.0,30.0,9.0,3419.0,10.0,19.0,9.0,4.0,0.0,7.0,36.0,6.0,0.0,0.0,11.0,15.0,0.0,11.0,5.0,79.0,25.0,18.0,41.0,21.0,54.0,53.0,23.0,29.0,0.0,5.0,6.0,2.0,6.0,1.0,10.0,4.0,19.0,12.0,3.0,1.0,0.0,9.0,8.0,7.0,2.0,11.0,5.0,1.0,10.0,66.0,0.0,0.0,2.0,2.0,7.0,2.0,0.0,150.0,188.0,130.0,69.0,78.0,21.0,10.0,10.0,51.0,0.0,3.0,86.0,295.0,241.0,1.0,45.0,67.0,10.0,32.0,21.0,209.0
38,84.0,127.0,7.0,76.0,98.0,37.0,6.0,3567.0,6.0,22.0,12.0,12.0,3.0,6.0,22.0,15.0,1.0,0.0,9.0,15.0,2.0,5.0,7.0,88.0,23.0,15.0,44.0,18.0,47.0,40.0,17.0,27.0,1.0,5.0,5.0,2.0,2.0,2.0,3.0,6.0,12.0,8.0,4.0,3.0,4.0,7.0,13.0,12.0,1.0,8.0,5.0,3.0,9.0,51.0,0.0,1.0,0.0,4.0,8.0,2.0,4.0,163.0,199.0,140.0,66.0,75.0,22.0,12.0,12.0,43.0,0.0,5.0,85.0,318.0,238.0,1.0,56.0,58.0,25.0,32.0,24.0,218.0
39,79.0,135.0,4.0,100.0,77.0,32.0,12.0,3564.0,6.0,17.0,12.0,12.0,5.0,5.0,31.0,6.0,0.0,2.0,7.0,14.0,1.0,11.0,8.0,84.0,25.0,11.0,49.0,21.0,62.0,47.0,26.0,36.0,3.0,7.0,4.0,5.0,7.0,1.0,4.0,10.0,18.0,10.0,5.0,1.0,2.0,11.0,13.0,6.0,3.0,14.0,13.0,3.0,5.0,66.0,2.0,2.0,1.0,5.0,2.0,4.0,4.0,177.0,202.0,141.0,74.0,87.0,23.0,4.0,7.0,30.0,1.0,5.0,88.0,282.0,215.0,1.0,50.0,60.0,9.0,22.0,25.0,228.0
40,90.0,102.0,4.0,83.0,70.0,39.0,4.0,2854.0,10.0,20.0,31.0,6.0,5.0,11.0,22.0,6.0,0.0,0.0,7.0,10.0,2.0,5.0,0.0,70.0,43.0,21.0,47.0,12.0,37.0,49.0,28.0,35.0,2.0,6.0,5.0,2.0,3.0,4.0,4.0,4.0,18.0,15.0,4.0,1.0,4.0,6.0,12.0,8.0,2.0,8.0,6.0,6.0,4.0,44.0,0.0,3.0,2.0,3.0,3.0,0.0,1.0,162.0,183.0,118.0,59.0,83.0,21.0,10.0,6.0,33.0,2.0,3.0,67.0,228.0,173.0,0.0,43.0,36.0,12.0,35.0,33.0,160.0
41,85.0,114.0,5.0,84.0,78.0,31.0,10.0,3109.0,9.0,28.0,21.0,1.0,4.0,4.0,33.0,5.0,0.0,2.0,8.0,13.0,1.0,2.0,2.0,76.0,35.0,27.0,50.0,12.0,46.0,48.0,24.0,37.0,6.0,6.0,6.0,8.0,2.0,3.0,2.0,6.0,17.0,15.0,7.0,1.0,1.0,3.0,7.0,7.0,2.0,8.0,2.0,6.0,3.0,36.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,166.0,190.0,140.0,66.0,83.0,21.0,11.0,7.0,24.0,2.0,7.0,67.0,206.0,161.0,6.0,34.0,41.0,16.0,38.0,26.0,186.0
42,81.0,118.0,8.0,90.0,85.0,34.0,3.0,3038.0,6.0,19.0,19.0,6.0,6.0,4.0,32.0,7.0,0.0,0.0,7.0,10.0,1.0,3.0,0.0,94.0,41.0,12.0,67.0,23.0,36.0,60.0,22.0,37.0,5.0,8.0,9.0,10.0,7.0,6.0,5.0,7.0,15.0,15.0,7.0,3.0,4.0,8.0,9.0,6.0,2.0,12.0,5.0,7.0,6.0,31.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,170.0,197.0,129.0,50.0,53.0,17.0,8.0,7.0,35.0,1.0,6.0,46.0,176.0,140.0,1.0,30.0,40.0,14.0,22.0,26.0,164.0
43,98.0,106.0,7.0,79.0,95.0,37.0,4.0,3026.0,8.0,28.0,16.0,9.0,3.0,2.0,34.0,9.0,0.0,0.0,6.0,12.0,2.0,4.0,6.0,84.0,36.0,23.0,61.0,16.0,36.0,48.0,22.0,32.0,5.0,6.0,7.0,4.0,7.0,8.0,3.0,6.0,19.0,17.0,3.0,1.0,5.0,2.0,4.0,10.0,1.0,8.0,3.0,8.0,8.0,37.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,166.0,193.0,142.0,58.0,60.0,27.0,4.0,7.0,37.0,1.0,6.0,46.0,175.0,140.0,2.0,28.0,45.0,10.0,23.0,30.0,194.0
44,123.0,95.0,9.0,94.0,86.0,37.0,10.0,3464.0,10.0,17.0,11.0,8.0,5.0,4.0,34.0,10.0,1.0,0.0,13.0,12.0,1.0,1.0,5.0,99.0,63.0,26.0,57.0,21.0,35.0,79.0,25.0,42.0,8.0,7.0,16.0,4.0,8.0,9.0,3.0,4.0,19.0,19.0,7.0,2.0,5.0,5.0,7.0,11.0,0.0,17.0,5.0,11.0,8.0,32.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,179.0,205.0,140.0,69.0,80.0,19.0,6.0,7.0,34.0,1.0,9.0,65.0,287.0,225.0,13.0,43.0,47.0,39.0,31.0,20.0,200.0
45,80.0,94.0,9.0,80.0,72.0,28.0,7.0,2524.0,4.0,23.0,19.0,4.0,3.0,11.0,30.0,5.0,1.0,0.0,6.0,7.0,0.0,3.0,3.0,71.0,34.0,17.0,43.0,13.0,21.0,49.0,21.0,29.0,1.0,7.0,6.0,6.0,3.0,3.0,2.0,1.0,15.0,9.0,5.0,2.0,3.0,9.0,7.0,7.0,0.0,15.0,2.0,3.0,1.0,25.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,147.0,173.0,121.0,56.0,63.0,22.0,7.0,7.0,34.0,1.0,7.0,52.0,255.0,206.0,22.0,27.0,52.0,36.0,24.0,18.0,165.0
46,110.0,122.0,6.0,109.0,85.0,29.0,17.0,3038.0,7.0,14.0,20.0,7.0,7.0,8.0,35.0,11.0,1.0,0.0,7.0,16.0,0.0,1.0,4.0,107.0,51.0,17.0,56.0,19.0,47.0,67.0,17.0,48.0,2.0,9.0,11.0,5.0,4.0,2.0,3.0,3.0,26.0,18.0,9.0,2.0,7.0,10.0,9.0,9.0,3.0,19.0,3.0,9.0,7.0,32.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,176.0,216.0,144.0,65.0,73.0,27.0,9.0,6.0,34.0,3.0,9.0,49.0,293.0,222.0,25.0,42.0,55.0,32.0,32.0,30.0,203.0
47,66.0,85.0,4.0,69.0,60.0,16.0,11.0,2223.0,5.0,7.0,14.0,3.0,3.0,2.0,26.0,7.0,0.0,0.0,12.0,12.0,2.0,2.0,3.0,63.0,27.0,11.0,29.0,15.0,29.0,41.0,12.0,26.0,1.0,7.0,6.0,3.0,6.0,1.0,5.0,9.0,14.0,5.0,3.0,0.0,4.0,4.0,9.0,3.0,0.0,10.0,6.0,5.0,9.0,30.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,123.0,148.0,100.0,48.0,62.0,17.0,3.0,8.0,23.0,3.0,6.0,46.0,201.0,159.0,10.0,28.0,46.0,18.0,19.0,18.0,128.0
48,44.0,78.0,6.0,64.0,54.0,10.0,1.0,1830.0,3.0,7.0,9.0,1.0,3.0,6.0,21.0,4.0,0.0,0.0,6.0,7.0,0.0,3.0,2.0,58.0,18.0,7.0,44.0,11.0,24.0,24.0,12.0,25.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,4.0,17.0,4.0,1.0,0.0,4.0,6.0,2.0,7.0,0.0,7.0,0.0,5.0,3.0,14.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,101.0,121.0,79.0,33.0,42.0,16.0,8.0,2.0,16.0,0.0,7.0,28.0,163.0,122.0,14.0,19.0,32.0,25.0,12.0,14.0,145.0
49,88.0,106.0,9.0,80.0,96.0,27.0,2.0,3111.0,8.0,16.0,20.0,5.0,6.0,8.0,30.0,5.0,0.0,0.0,4.0,11.0,1.0,3.0,5.0,89.0,37.0,19.0,55.0,17.0,31.0,56.0,21.0,28.0,2.0,10.0,5.0,5.0,5.0,3.0,3.0,6.0,18.0,10.0,3.0,3.0,3.0,7.0,12.0,5.0,1.0,11.0,2.0,11.0,5.0,28.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,149.0,181.0,117.0,59.0,60.0,22.0,7.0,9.0,27.0,2.0,6.0,53.0,271.0,215.0,24.0,32.0,59.0,37.0,23.0,19.0,167.0
50,88.0,117.0,1.0,91.0,80.0,31.0,8.0,2918.0,6.0,8.0,18.0,8.0,1.0,4.0,33.0,6.0,0.0,0.0,2.0,12.0,0.0,3.0,4.0,103.0,34.0,25.0,70.0,22.0,28.0,47.0,26.0,36.0,1.0,3.0,6.0,3.0,6.0,2.0,4.0,2.0,16.0,6.0,3.0,2.0,4.0,2.0,8.0,5.0,2.0,12.0,3.0,2.0,5.0,18.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,163.0,190.0,128.0,61.0,66.0,19.0,5.0,4.0,41.0,2.0,5.0,63.0,284.0,233.0,15.0,38.0,63.0,45.0,29.0,24.0,227.0
51,79.0,95.0,4.0,73.0,82.0,20.0,5.0,2471.0,13.0,15.0,8.0,7.0,3.0,5.0,26.0,7.0,0.0,0.0,5.0,8.0,0.0,6.0,2.0,77.0,27.0,14.0,58.0,10.0,39.0,50.0,9.0,29.0,1.0,4.0,4.0,7.0,8.0,3.0,8.0,8.0,10.0,10.0,3.0,2.0,3.0,4.0,11.0,15.0,1.0,12.0,5.0,5.0,6.0,22.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,137.0,160.0,103.0,49.0,52.0,26.0,4.0,7.0,26.0,2.0,5.0,43.0,231.0,194.0,10.0,27.0,58.0,22.0,28.0,27.0,140.0
52,35.0,54.0,3.0,34.0,37.0,15.0,8.0,1541.0,7.0,14.0,0.0,2.0,1.0,5.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,4.0,1.0,36.0,16.0,11.0,31.0,8.0,20.0,25.0,7.0,22.0,1.0,4.0,6.0,3.0,4.0,3.0,5.0,3.0,13.0,11.0,2.0,3.0,2.0,5.0,7.0,2.0,0.0,2.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,85.0,65.0,32.0,29.0,8.0,3.0,2.0,13.0,2.0,6.0,25.0,101.0,82.0,7.0,11.0,22.0,14.0,15.0,9.0,109.0
53,4.0,13.0,0.0,8.0,7.0,1.0,1.0,285.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,3.0,11.0,0.0,4.0,6.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,12.0,6.0,5.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0
